Date,Open,High,Low,Close,Adj Close,Volume
19/11/2018,71.775.002,72.110.001,70.339.996,70.648.003,70.648.003,0
26/11/2018,70.669.998,71.040.001,69.580.002,69.642.998,69.642.998,0
03/12/2018,69.760.002,71.430.000,69.759.003,70.750.000,70.750.000,0
10/12/2018,71.364.998,72.699.997,70.852.997,71.546.997,71.546.997,0
17/12/2018,71.910.004,71.910.500,69.650.002,70.129.997,70.129.997,0
24/12/2018,70.139.999,70.400.002,69.629.997,69.849.998,69.849.998,0
31/12/2018,69.922.501,70.510.002,69.430.000,69.525.002,69.525.002,0
07/01/2019,69.525.002,70.639.999,69.080.002,70.370.003,70.370.003,0
14/01/2019,70.370.003,71.570.000,70.269.997,71.030.197,71.030.197,0
21/01/2019,71.230.003,71.529.999,70.884.003,70.970.001,70.970.001,0
28/01/2019,70.974.998,71.550.003,70.839.996,71.449.997,71.449.997,0
04/02/2019,71.451.698,71.900.002,71.019.997,71.099.998,71.099.998,0
11/02/2019,71.150.002,71.459.999,70.389.999,71.320.000,71.320.000,0
18/02/2019,71.320.000,71.610.001,70.930.000,71.028.000,71.028.000,0
25/02/2019,71.027.496,71.592.499,70.688.301,70.989.998,70.989.998,0
04/03/2019,70.989.998,71.199.997,69.775.299,69.986.900,69.986.900,0
11/03/2019,69.986.900,70.023.499,68.915.001,69.337.303,69.337.303,0
18/03/2019,68.953.003,69.480.003,68.350.502,69.160.004,69.160.004,0
25/03/2019,69.160.599,69.430.000,68.634.003,69.430.000,69.430.000,0
01/04/2019,69.430.000,69.610.001,68.377.998,68.970.398,68.970.398,0
08/04/2019,69.160.500,69.769.997,68.830.002,69.182.999,69.182.999,0
15/04/2019,69.182.999,69.754.997,68.924.004,69.380.997,69.380.997,0
22/04/2019,69.388.000,70.540.001,69.360.001,69.844.299,69.844.299,0
29/04/2019,69.843.002,70.050.003,69.062.500,69.424.400,69.424.400,0
06/05/2019,69.087.997,70.410.004,69.087.997,70.410.004,70.410.004,0
13/05/2019,70.008.003,70.959.999,69.915.001,70.235.001,70.235.001,0
20/05/2019,70.273.003,70.281.502,69.260.002,69.373.001,69.373.001,0
27/05/2019,69.373.001,70.059.998,69.309.998,69.980.003,69.980.003,0
03/06/2019,69.570.503,69.625.000,68.905.998,69.360.001,69.360.001,0
10/06/2019,69.348.000,69.842.003,69.120.003,69.859.001,69.859.001,0
17/06/2019,69.825.996,70.112.503,69.331.001,69.779.999,69.779.999,0
24/06/2019,69.608.002,69.769.997,68.869.003,69.324.997,69.324.997,0
01/07/2019,68.940.498,69.167.503,68.389.000,68.440.002,68.440.002,0
08/07/2019,68.443.001,68.849.998,68.202.301,68.550.301,68.550.301,0
15/07/2019,68.550.499,69.012.497,68.301.498,68.913.597,68.913.597,0
22/07/2019,68.852.997,69.357.498,68.816.002,69.150.497,69.150.497,0
29/07/2019,68.870.499,69.800.003,68.660.004,69.297.203,69.297.203,0
05/08/2019,69.693.001,71.519.997,69.657.898,70.470.901,70.470.901,0
12/08/2019,70.917.000,71.900.002,70.739.998,71.720.001,71.720.001,0
19/08/2019,71.148.003,72.264.999,71.035.004,71.727.097,71.727.097,0
26/08/2019,71.504.997,72.334.999,71.370.003,71.680.199,71.680.199,0
02/09/2019,71.445.999,72.620.003,71.445.999,71.669.998,71.669.998,0
09/09/2019,71.638.000,72.180.000,70.858.002,71.020.699,71.020.699,0
16/09/2019,70.977.997,72.322.304,70.712.303,71.717.499,71.717.499,0
23/09/2019,71.068.001,71.324.997,70.365.997,70.639.999,70.639.999,0
30/09/2019,70.500.999,71.542.999,70.375.298,70.822.502,70.822.502,0
07/10/2019,70.818.001,71.574.997,70.759.003,71.029.999,71.029.999,0
14/10/2019,70.917.000,71.760.002,70.731.499,71.422.501,71.422.501,0
21/10/2019,71.083.000,71.346.001,70.699.501,70.830.002,70.830.002,0
28/10/2019,70.830.002,71.272.499,70.512.001,70.512.100,70.512.100,0
04/11/2019,70.512.100,71.470.001,70.471.497,71.361.267,71.361.267,0
11/11/2019,71.349.998,72.360.001,71.233.002,71.705.803,71.705.803,0
18/11/2019,71.625.000,72.169.998,71.572.998,71.782.600,71.782.600,0
25/11/2019,71.782.600,71.875.504,71.219.803,71.723.000,71.723.000,0
02/12/2019,71.738.998,71.959.999,71.179.100,71.286.797,71.286.797,0
09/12/2019,71.272.903,71.275.002,70.471.001,70.689.003,70.689.003,0
16/12/2019,70.679.497,71.425.003,70.666.496,71.024.002,71.024.002,0
23/12/2019,71.050.003,71.561.996,71.033.997,71.313.004,71.313.004,0
30/12/2019,71.410.004,71.995.003,71.025.002,71.731.003,71.731.003,0
06/01/2020,71.720.001,72.500.000,70.829.002,70.953.003,70.953.003,0
13/01/2020,70.953.003,71.162.498,70.606.499,71.034.698,71.034.698,0
20/01/2020,71.033.699,71.510.002,70.720.001,71.324.997,71.324.997,0
27/01/2020,71.320.000,71.711.998,71.168.503,71.496.498,71.496.498,0
03/02/2020,71.544.998,71.699.997,71.084.999,71.515.503,71.515.503,0
10/02/2020,71.504.997,71.596.001,71.064.003,71.514.801,71.514.801,0
17/02/2020,71.517.700,72.110.001,71.268.997,71.886.803,71.886.803,0
24/02/2020,71.870.003,72.815.002,71.525.597,72.150.002,72.150.002,0
02/03/2020,72.528.999,74.440.002,71.952.499,73.995.300,73.995.300,0
09/03/2020,73.995.300,75.434.998,73.404.503,73.903.999,73.903.999,0
16/03/2020,73.830.002,76.584.999,73.580.002,75.159.698,75.159.698,0
23/03/2020,75.388.496,77.754.997,73.989.998,74.875.504,74.875.504,0
30/03/2020,75.464.996,77.570.000,74.989.998,77.139.999,77.139.999,0
06/04/2020,76.230.003,77.379.997,75.251.999,76.166.496,76.166.496,0
13/04/2020,76.166.496,77.570.000,75.921.303,76.490.997,76.490.997,0
20/04/2020,76.559.998,77.684.998,75.672.501,76.301.498,76.301.498,0
27/04/2020,76.271.500,76.785.004,74.805.000,75.830.498,75.830.498,0
04/05/2020,75.591.003,76.550.003,75.260.002,75.503.502,75.503.502,0
11/05/2020,75.525.002,76.309.998,75.039.497,75.822.998,75.822.998,0
18/05/2020,75.820.000,76.209.503,75.416.000,75.977.501,75.977.501,0
25/05/2020,75.985.001,76.129.997,75.381.302,75.513.199,75.513.199,0
01/06/2020,75.513.199,75.792.503,74.914.398,75.564.003,75.564.003,0
08/06/2020,75.517.700,76.389.999,75.376.900,75.956.497,75.956.497,0
15/06/2020,75.956.902,76.654.999,75.745.003,76.239.799,76.239.799,0
22/06/2020,76.257.301,76.453.499,75.430.496,75.627.502,75.627.502,0
29/06/2020,75.619.797,75.750.000,74.544.502,74.678.200,74.678.200,0
06/07/2020,74.679.298,75.355.003,74.430.298,75.188.004,75.188.004,0
13/07/2020,75.194.298,75.574.997,74.916.000,74.927.002,74.927.002,0
